order_date,orders,avg_service_minutes,gross_sales,discount_amount,net_sales,cost_amount,contribution_amount,aov,contribution_margin_pct,trailing_7d_net_sales
2026-01-01,62,19.338710,4622.500000,58.850000,4563.650000,1550.750000,3012.900000,73.607258,66.019524,
2026-01-02,81,23.074074,6047.000000,154.050000,5892.950000,2007.900000,3885.050000,72.752469,65.927082,
2026-01-03,112,22.241071,8423.500000,112.950000,8310.550000,2830.100000,5480.450000,74.201339,65.945696,
2026-01-04,88,19.420455,6632.500000,93.150000,6539.350000,2222.850000,4316.500000,74.310795,66.008089,
2026-01-05,62,19.161290,4590.000000,325.150000,4264.850000,1562.850000,2702.000000,68.787903,63.355100,
2026-01-06,52,19.769231,4024.000000,179.650000,3844.350000,1343.200000,2501.150000,73.929808,65.060413,
2026-01-07,66,19.818182,4687.000000,152.900000,4534.100000,1569.050000,2965.050000,68.698485,65.394455,37949.800000
2026-01-08,59,19.440678,4905.000000,71.400000,4833.600000,1639.150000,3194.450000,81.925424,66.088423,38219.750000
2026-01-09,81,21.234568,6233.000000,71.550000,6161.450000,2077.500000,4083.950000,76.067284,66.282287,38488.250000
2026-01-10,102,22.431373,7538.000000,102.300000,7435.700000,2512.400000,4923.300000,72.899020,66.211655,37613.400000
2026-01-11,69,19.681159,5332.000000,55.000000,5277.000000,1776.900000,3500.100000,76.478261,66.327459,36351.050000
2026-01-12,45,18.822222,3408.500000,134.300000,3274.200000,1144.300000,2129.900000,72.760000,65.051005,35360.400000
2026-01-13,42,19.166667,2985.000000,108.250000,2876.750000,992.450000,1884.300000,68.494048,65.500999,34392.800000
2026-01-14,60,18.983333,4018.000000,119.700000,3898.300000,1342.700000,2555.600000,64.971667,65.556781,33757.000000
2026-01-15,66,19.242424,4888.500000,104.050000,4784.450000,1649.700000,3134.750000,72.491667,65.519548,33707.850000
2026-01-16,93,22.344086,7178.000000,102.700000,7075.300000,2412.150000,4663.150000,76.078495,65.907453,34621.700000
2026-01-17,118,21.788136,9081.500000,126.250000,8955.250000,3038.250000,5917.000000,75.891949,66.072974,36141.250000
2026-01-18,77,19.467532,5868.500000,56.450000,5812.050000,1958.150000,3853.900000,75.481169,66.308789,36676.300000
2026-01-19,44,18.772727,3466.500000,171.450000,3295.050000,1147.550000,2147.500000,74.887500,65.173518,36697.150000
2026-01-20,41,19.707317,3098.000000,158.550000,2939.450000,1037.100000,1902.350000,71.693902,64.717889,36759.850000
2026-01-21,55,19.818182,3875.500000,148.750000,3726.750000,1325.800000,2400.950000,67.759091,64.424767,36588.300000
2026-01-22,57,18.596491,4041.500000,87.300000,3954.200000,1369.400000,2584.800000,69.371930,65.368469,35758.050000
2026-01-23,93,21.989247,7193.000000,101.450000,7091.550000,2450.450000,4641.100000,76.253226,65.445495,35774.300000
2026-01-24,84,22.690476,6021.500000,91.400000,5930.100000,2023.700000,3906.400000,70.596429,65.874100,32749.150000
2026-01-25,86,19.011628,6411.500000,128.500000,6283.000000,2149.750000,4133.250000,73.058140,65.784657,33220.100000
2026-01-26,43,18.953488,3208.500000,131.700000,3076.800000,1073.750000,2003.050000,71.553488,65.101729,33001.850000
2026-01-27,47,19.106383,3342.000000,133.300000,3208.700000,1107.650000,2101.050000,68.270213,65.479789,33271.100000
2026-01-28,59,18.932203,4271.500000,180.300000,4091.200000,1416.400000,2674.800000,69.342373,65.379351,33635.550000
2026-01-29,66,18.696970,5235.000000,43.850000,5191.150000,1719.200000,3471.950000,78.653788,66.882097,34872.500000
2026-01-30,74,20.797297,5570.000000,63.950000,5506.050000,1876.950000,3629.100000,74.406081,65.911134,33287.000000
2026-01-31,115,21.843478,8744.000000,104.900000,8639.100000,2932.500000,5706.600000,75.122609,66.055492,35996.000000
2026-02-01,76,20.250000,6141.000000,80.900000,6060.100000,2050.600000,4009.500000,79.738158,66.162275,35773.100000
2026-02-02,57,19.280702,4283.000000,168.050000,4114.950000,1437.850000,2677.100000,72.192105,65.057899,36811.250000
2026-02-03,54,19.592593,4229.000000,208.250000,4020.750000,1432.350000,2588.400000,74.458333,64.376049,37623.300000
2026-02-04,57,20.017544,4503.000000,179.000000,4324.000000,1519.900000,2804.100000,75.859649,64.849676,37856.100000
2026-02-05,67,18.223881,5281.500000,47.350000,5234.150000,1755.600000,3478.550000,78.121642,66.458737,37899.100000
2026-02-06,82,22.695122,6761.500000,93.050000,6668.450000,2275.450000,4393.000000,81.322561,65.877378,39061.500000
2026-02-07,115,22.408696,8217.000000,129.950000,8087.050000,2745.200000,5341.850000,70.322174,66.054371,38509.450000
2026-02-08,82,19.512195,6481.000000,97.050000,6383.950000,2206.900000,4177.050000,77.853049,65.430494,38833.300000
2026-02-09,55,20.527273,3987.500000,203.100000,3784.400000,1347.450000,2436.950000,68.807273,64.394620,38502.750000
2026-02-10,49,18.102041,3829.000000,155.050000,3673.950000,1312.350000,2361.600000,74.978571,64.279590,38155.950000
2026-02-11,66,19.393939,4861.500000,187.550000,4673.950000,1603.700000,3070.250000,70.817424,65.688550,38505.900000
2026-02-12,67,19.701493,5019.500000,65.100000,4954.400000,1707.900000,3246.500000,73.946269,65.527612,38226.150000
2026-02-13,90,22.077778,7510.000000,106.500000,7403.500000,2529.550000,4873.950000,82.261111,65.833052,38961.200000
2026-02-14,106,22.443396,8136.500000,93.850000,8042.650000,2720.100000,5322.550000,75.874057,66.179058,38916.800000
2026-02-15,76,18.644737,5821.000000,113.100000,5707.900000,1964.150000,3743.750000,75.103947,65.588921,38240.750000
2026-02-16,48,19.395833,3685.000000,165.050000,3519.950000,1216.700000,2303.250000,73.332292,65.434168,37976.300000
2026-02-17,67,19.358209,5169.000000,283.900000,4885.100000,1743.400000,3141.700000,72.911940,64.311887,39187.450000
2026-02-18,57,19.017544,4349.000000,211.800000,4137.200000,1477.200000,2660.000000,72.582456,64.294692,38650.700000
2026-02-19,68,18.941176,5424.500000,110.450000,5314.050000,1826.300000,3487.750000,78.147794,65.632615,39010.350000
2026-02-20,76,22.092105,5469.000000,49.100000,5419.900000,1862.650000,3557.250000,71.314474,65.633130,37026.750000
2026-02-21,114,22.482456,8805.500000,132.000000,8673.500000,2970.700000,5702.800000,76.083333,65.749697,37657.600000
2026-02-22,76,19.184211,5761.000000,51.350000,5709.650000,1953.050000,3756.600000,75.126974,65.793875,37659.350000
2026-02-23,64,19.953125,4396.000000,222.250000,4173.750000,1477.500000,2696.250000,65.214844,64.600180,38313.150000
2026-02-24,51,19.372549,3621.500000,151.650000,3469.850000,1244.100000,2225.750000,68.036275,64.145424,36897.900000
