weekday,hour,orders,avg_service_minutes,gross_sales,discount_amount,net_sales,cost_amount,contribution_amount,aov,contribution_margin_pct,operating_days,orders_per_operating_hour
0,11,97,19.319588,7191.250000,258.610000,6932.640000,2370.790000,4561.850000,71.470515,65.802494,26,3.730769
0,12,153,20.045752,12206.500000,622.420000,11584.080000,4059.120000,7524.960000,75.712941,64.959496,26,5.884615
0,13,148,18.540541,10755.500000,468.580000,10286.920000,3562.800000,6724.120000,69.506216,65.365727,26,5.692308
0,14,94,19.840426,6674.250000,237.090000,6437.160000,2190.030000,4247.130000,68.480426,65.978320,26,3.615385
0,15,41,18.439024,3475.750000,87.810000,3387.940000,1140.170000,2247.770000,82.632683,66.346216,26,1.576923
0,16,57,19.754386,4630.000000,114.950000,4515.050000,1523.740000,2991.310000,79.211404,66.251979,26,2.192308
0,17,156,19.121795,12183.500000,533.280000,11650.220000,4013.990000,7636.230000,74.680897,65.545801,26,6.000000
0,18,246,19.065041,19059.750000,974.460000,18085.290000,6361.650000,11723.640000,73.517439,64.824175,26,9.461538
0,19,261,19.452107,21107.250000,918.540000,20188.710000,7032.630000,13156.080000,77.351379,65.165531,26,10.038462
0,20,163,19.938650,12333.250000,624.890000,11708.360000,4060.710000,7647.650000,71.830429,65.317858,26,6.269231
0,21,90,19.988889,6716.000000,275.440000,6440.560000,2252.500000,4188.060000,71.561778,65.026333,26,3.461538
1,11,96,18.843750,7121.000000,467.860000,6653.140000,2327.770000,4325.370000,69.303542,65.012460,26,3.692308
1,12,175,19.114286,12723.000000,469.550000,12253.450000,4171.800000,8081.650000,70.019714,65.954078,26,6.730769
1,13,158,19.107595,12852.500000,527.120000,12325.380000,4303.800000,8021.580000,78.008734,65.081807,26,6.076923
1,14,88,18.977273,6681.000000,232.740000,6448.260000,2242.960000,4205.300000,73.275682,65.216043,26,3.384615
1,15,39,20.179487,3409.000000,207.320000,3201.680000,1150.640000,2051.040000,82.094359,64.061368,26,1.500000
1,16,68,19.220588,5294.250000,204.890000,5089.360000,1735.010000,3354.350000,74.843529,65.909073,26,2.615385
1,17,149,19.234899,12365.500000,515.650000,11849.850000,4108.470000,7741.380000,79.529195,65.328928,26,5.730769
1,18,277,19.068592,21413.750000,1159.990000,20253.760000,7141.840000,13111.920000,73.118267,64.738202,26,10.653846
1,19,267,19.651685,20575.000000,869.170000,19705.830000,6791.040000,12914.790000,73.804607,65.537914,26,10.269231
1,20,151,19.331126,11435.750000,517.730000,10918.020000,3788.620000,7129.400000,72.304768,65.299386,26,5.807692
1,21,89,18.685393,6773.750000,260.370000,6513.380000,2245.000000,4268.380000,73.184045,65.532489,26,3.423077
2,11,115,19.791304,8471.250000,366.300000,8104.950000,2830.060000,5274.890000,70.477826,65.082326,25,4.600000
2,12,176,19.545455,13847.000000,534.730000,13312.270000,4585.290000,8726.980000,75.637898,65.555912,25,7.040000
2,13,181,19.613260,13732.250000,496.030000,13236.220000,4554.400000,8681.820000,73.128287,65.591385,25,7.240000
2,14,98,19.673469,7614.000000,338.950000,7275.050000,2507.390000,4767.660000,74.235204,65.534395,25,3.920000
2,15,48,20.125000,4550.250000,155.500000,4394.750000,1533.010000,2861.740000,91.557292,65.117242,25,1.920000
2,16,63,18.793651,4900.000000,246.270000,4653.730000,1618.050000,3035.680000,73.868730,65.231116,25,2.520000
2,17,174,20.149425,13466.250000,501.230000,12965.020000,4502.600000,8462.420000,74.511609,65.271168,25,6.960000
2,18,322,19.562112,24792.000000,1126.530000,23665.470000,8157.850000,15507.620000,73.495248,65.528468,25,12.880000
2,19,303,19.069307,23341.250000,876.370000,22464.880000,7726.540000,14738.340000,74.141518,65.606137,25,12.120000
2,20,168,19.297619,12301.000000,440.340000,11860.660000,4030.030000,7830.630000,70.599167,66.021874,25,6.720000
2,21,114,19.210526,8697.500000,395.690000,8301.810000,2881.620000,5420.190000,72.822895,65.289256,25,4.560000
3,11,106,19.452830,8457.500000,102.260000,8355.240000,2836.710000,5518.530000,78.823019,66.048731,26,4.076923
3,12,201,19.273632,15164.500000,169.730000,14994.770000,4979.940000,10014.830000,74.600846,66.788820,26,7.730769
3,13,200,19.550000,15622.250000,193.230000,15429.020000,5144.790000,10284.230000,77.145100,66.655108,26,7.692308
3,14,107,19.457944,8113.250000,145.360000,7967.890000,2657.260000,5310.630000,74.466262,66.650393,26,4.115385
3,15,50,19.220000,3738.750000,38.370000,3700.380000,1204.450000,2495.930000,74.007600,67.450640,26,1.923077
3,16,78,18.833333,6502.000000,57.220000,6444.780000,2119.810000,4324.970000,82.625385,67.108109,26,3.000000
3,17,202,19.202970,16287.000000,313.870000,15973.130000,5379.450000,10593.680000,79.074901,66.321879,26,7.769231
3,18,339,19.150442,25686.750000,374.410000,25312.340000,8496.020000,16816.320000,74.667670,66.435264,26,13.038462
3,19,323,19.430341,25266.750000,306.540000,24960.210000,8340.370000,16619.840000,77.276192,66.585337,26,12.423077
3,20,199,19.402010,15031.500000,180.450000,14851.050000,4958.290000,9892.760000,74.628392,66.613202,26,7.653846
3,21,109,19.211009,9134.250000,174.860000,8959.390000,3031.880000,5927.510000,82.196239,66.159750,26,4.192308
4,11,153,19.169935,12094.750000,192.780000,11901.970000,3980.870000,7921.100000,77.790654,66.552848,26,5.884615
4,12,263,19.178707,20822.750000,209.890000,20612.860000,6948.860000,13664.000000,78.375894,66.288715,26,10.115385
4,13,268,19.470149,20130.000000,299.090000,19830.910000,6616.180000,13214.730000,73.995933,66.637033,26,10.307692
4,14,150,19.400000,11838.750000,251.660000,11587.090000,3930.300000,7656.790000,77.247267,66.080353,26,5.769231
4,15,80,19.087500,6394.000000,101.220000,6292.780000,2122.520000,4170.260000,78.659750,66.270551,26,3.076923
4,16,95,18.989474,7486.000000,93.900000,7392.100000,2492.650000,4899.450000,77.811579,66.279542,26,3.653846
4,17,289,19.373702,22411.500000,242.450000,22169.050000,7436.610000,14732.440000,76.709516,66.454990,26,11.115385
4,18,462,27.246753,34302.250000,519.760000,33782.490000,11337.670000,22444.820000,73.122273,66.439212,26,17.769231
4,19,476,27.289916,37494.250000,354.760000,37139.490000,12429.940000,24709.550000,78.024139,66.531743,26,18.307692
4,20,271,19.287823,21058.000000,251.250000,20806.750000,6956.860000,13849.890000,76.777675,66.564408,26,10.423077
4,21,160,19.081250,12545.000000,145.520000,12399.480000,4137.740000,8261.740000,77.496750,66.629730,26,6.153846
5,11,183,19.497268,12970.250000,208.730000,12761.520000,4312.080000,8449.440000,69.735082,66.210295,26,7.038462
5,12,325,19.409231,26982.250000,461.990000,26520.260000,8987.690000,17532.570000,81.600800,66.110098,26,12.500000
5,13,308,19.256494,24531.750000,421.320000,24110.430000,8173.140000,15937.290000,78.280617,66.101227,26,11.846154
5,14,226,19.340708,18112.250000,285.750000,17826.500000,6030.770000,11795.730000,78.878319,66.169635,26,8.692308
5,15,85,19.564706,6896.750000,95.570000,6801.180000,2287.300000,4513.880000,80.013882,66.369071,26,3.269231
5,16,121,19.404959,9126.750000,108.630000,9018.120000,2943.170000,6074.950000,74.529917,67.363819,26,4.653846
5,17,329,19.185410,26501.250000,349.760000,26151.490000,8743.360000,17408.130000,79.487812,66.566494,26,12.653846
5,18,569,27.425308,44025.250000,615.040000,43410.210000,14541.420000,28868.790000,76.292109,66.502304,26,21.884615
5,19,518,27.193050,38270.250000,535.100000,37735.150000,12797.400000,24937.750000,72.847780,66.086262,26,19.923077
5,20,287,19.313589,21596.500000,280.960000,21315.540000,7146.780000,14168.760000,74.270174,66.471504,26,11.038462
5,21,203,19.285714,15982.250000,236.200000,15746.050000,5309.540000,10436.510000,77.566749,66.280178,26,7.807692
6,11,139,18.956835,10800.500000,178.080000,10622.420000,3591.670000,7030.750000,76.420288,66.187837,26,5.346154
6,12,228,19.688596,17124.500000,275.180000,16849.320000,5642.170000,11207.150000,73.900526,66.513960,26,8.769231
6,13,231,19.402597,18389.500000,353.750000,18035.750000,6126.930000,11908.820000,78.076840,66.028970,26,8.884615
6,14,117,18.948718,8744.250000,80.650000,8663.600000,2911.520000,5752.080000,74.047863,66.393647,26,4.500000
6,15,72,19.555556,5716.500000,52.580000,5663.920000,1878.980000,3784.940000,78.665556,66.825450,26,2.769231
6,16,81,19.234568,6709.250000,88.370000,6620.880000,2213.220000,4407.660000,81.739259,66.572117,26,3.115385
6,17,256,19.347656,19572.250000,318.380000,19253.870000,6435.070000,12818.800000,75.210430,66.577784,26,9.846154
