item_id,item_name,category,units,net_sales,contribution_amount,contribution_per_unit,contribution_margin_pct
101,Margherita Pizza,Main,8889,160948.300000,111312.340000,12.522482,69.160308
103,Classic Burger,Main,7700,130919.910000,84038.310000,10.914066,64.190626
105,Chicken Bowl,Main,6515,124412.600000,81426.280000,12.498278,65.448580
102,Truffle Pasta,Main,5005,120804.900000,75075.180000,15.000036,62.145807
104,Grilled Salmon,Main,3220,90643.150000,51407.950000,15.965202,56.714655
106,Mushroom Risotto,Main,3573,78508.200000,51322.500000,14.363980,65.372152
107,Steak Frites,Main,2083,66722.900000,36077.440000,17.319942,54.070551
108,Veggie Flatbread,Main,3627,59867.980000,41452.980000,11.428999,69.240653
303,House Wine,Beverage,5369,51245.950000,34899.430000,6.500173,68.101830
301,Lemonade,Beverage,6973,34977.360000,28593.260000,4.100568,81.747908
304,Craft Beer,Beverage,4225,32051.200000,21330.500000,5.048639,66.551330
204,Crispy Calamari,Starter,2284,27423.100000,16294.790000,7.134321,59.419942
302,Iced Tea,Beverage,6358,25685.350000,21822.090000,3.432226,84.959286
201,Garden Salad,Starter,2319,19863.100000,13982.700000,6.029625,70.395356
203,Tomato Soup,Starter,2327,17649.950000,12927.390000,5.555389,73.243210
305,Sparkling Water,Beverage,3731,16895.050000,13106.330000,3.512820,77.574970
202,Garlic Bread,Starter,2282,14784.670000,11308.090000,4.955342,76.485238
402,Tiramisu,Dessert,1565,14168.550000,9402.270000,6.007840,66.360143
404,Lemon Tart,Dessert,1415,12120.150000,8388.950000,5.928587,69.214902
401,Chocolate Brownie,Dessert,1385,11188.100000,8092.770000,5.843155,72.333730
403,Vanilla Gelato,Dessert,1388,8326.150000,6073.610000,4.375800,72.946200
306,Espresso,Beverage,1993,7086.200000,5975.330000,2.998159,84.323474
