order_id,gross_cents,discount_cents,net_cents,cost_cents,contribution_cents,quantity,order_date,order_time,server_id,table_number,party_size,channel,status,discount_percent,payment_method,service_minutes,check_duration_minutes,server_name,month,weekday,hour,discount_band
100001,6650,0,6650,2210,4440,5,2026-01-01,11:12:00,7,1.000000,2.000000,dine_in,completed,0,Credit Card,26.000000,61.000000,Server 07,2026-01,3,11,full_price
100002,11750,0,11750,3970,7780,10,2026-01-01,11:26:00,2,9.000000,4.000000,dine_in,completed,0,Cash,19.000000,83.000000,Server 02,2026-01,3,11,full_price
100003,6800,0,6800,2445,4355,5,2026-01-01,12:11:00,4,2.000000,2.000000,dine_in,completed,0,Debit Card,18.000000,52.000000,Server 04,2026-01,3,12,full_price
100004,11400,0,11400,3970,7430,8,2026-01-01,12:19:00,2,10.000000,4.000000,dine_in,completed,0,Credit Card,16.000000,68.000000,Server 02,2026-01,3,12,full_price
100005,8300,0,8300,2765,5535,6,2026-01-01,12:24:00,3,11.000000,3.000000,dine_in,completed,0,Credit Card,22.000000,73.000000,Server 03,2026-01,3,12,full_price
100006,11900,0,11900,3545,8355,11,2026-01-01,13:01:00,6,9.000000,4.000000,dine_in,completed,0,Credit Card,24.000000,44.000000,Server 06,2026-01,3,13,full_price
100007,10800,0,10800,3605,7195,9,2026-01-01,13:02:00,2,12.000000,4.000000,dine_in,completed,0,Credit Card,16.000000,66.000000,Server 02,2026-01,3,13,full_price
100008,5850,0,5850,1810,4040,6,2026-01-01,13:13:00,4,1.000000,2.000000,dine_in,completed,0,Cash,24.000000,97.000000,Server 04,2026-01,3,13,full_price
100009,12400,0,12400,5130,7270,7,2026-01-01,13:24:00,3,13.000000,3.000000,dine_in,completed,0,Cash,19.000000,58.000000,Server 03,2026-01,3,13,full_price
100010,11450,0,11450,3745,7705,10,2026-01-01,13:31:00,4,10.000000,4.000000,dine_in,completed,0,Cash,12.000000,73.000000,Server 04,2026-01,3,13,full_price
100011,3900,0,3900,1210,2690,3,2026-01-01,13:49:00,4,2.000000,2.000000,dine_in,completed,0,Debit Card,17.000000,92.000000,Server 04,2026-01,3,13,full_price
100012,6700,0,6700,2150,4550,5,2026-01-01,14:17:00,5,,,takeaway,completed,0,Credit Card,23.000000,23.000000,Server 05,2026-01,3,14,full_price
100013,6050,0,6050,1950,4100,5,2026-01-01,14:28:00,5,3.000000,2.000000,dine_in,completed,0,Cash,21.000000,67.000000,Server 05,2026-01,3,14,full_price
100014,4200,0,4200,1450,2750,2,2026-01-01,14:30:00,6,,,takeaway,completed,0,Credit Card,18.000000,18.000000,Server 06,2026-01,3,14,full_price
100015,6500,0,6500,2265,4235,5,2026-01-01,14:51:00,2,1.000000,2.000000,dine_in,completed,0,Credit Card,8.000000,64.000000,Server 02,2026-01,3,14,full_price
100016,2150,0,2150,700,1450,2,2026-01-01,14:55:00,4,4.000000,1.000000,dine_in,completed,0,Credit Card,18.000000,86.000000,Server 04,2026-01,3,14,full_price
100017,4700,0,4700,1610,3090,3,2026-01-01,15:27:00,6,,,takeaway,completed,0,Credit Card,20.000000,20.000000,Server 06,2026-01,3,15,full_price
100018,6050,0,6050,2245,3805,4,2026-01-01,16:12:00,5,1.000000,2.000000,dine_in,completed,0,Cash,19.000000,73.000000,Server 05,2026-01,3,16,full_price
100019,6650,0,6650,2060,4590,6,2026-01-01,16:44:00,7,2.000000,2.000000,dine_in,completed,0,Credit Card,25.000000,68.000000,Server 07,2026-01,3,16,full_price
100020,11350,0,11350,3950,7400,8,2026-01-01,16:49:00,6,9.000000,4.000000,dine_in,completed,0,Credit Card,10.000000,76.000000,Server 06,2026-01,3,16,full_price
100021,14700,0,14700,4650,10050,12,2026-01-01,16:58:00,3,21.000000,5.000000,dine_in,completed,0,Cash,18.000000,61.000000,Server 03,2026-01,3,16,full_price
100022,3050,0,3050,840,2210,3,2026-01-01,17:12:00,6,3.000000,1.000000,dine_in,completed,0,Credit Card,24.000000,50.000000,Server 06,2026-01,3,17,full_price
100023,5250,0,5250,1560,3690,5,2026-01-01,17:23:00,3,4.000000,2.000000,dine_in,completed,0,Credit Card,18.000000,54.000000,Server 03,2026-01,3,17,full_price
100024,10600,0,10600,3545,7055,8,2026-01-01,17:32:00,5,,,takeaway,completed,0,Credit Card,19.000000,19.000000,Server 05,2026-01,3,17,full_price
100025,4000,400,3600,1250,2350,3,2026-01-01,17:34:00,2,,,takeaway,completed,10,Credit Card,21.000000,21.000000,Server 02,2026-01,3,17,discounted
100026,8350,0,8350,2840,5510,6,2026-01-01,17:40:00,5,,,takeaway,completed,0,Credit Card,29.000000,29.000000,Server 05,2026-01,3,17,full_price
100027,5100,0,5100,1660,3440,4,2026-01-01,17:59:00,2,1.000000,2.000000,dine_in,completed,0,Credit Card,16.000000,83.000000,Server 02,2026-01,3,17,full_price
100028,7300,0,7300,2640,4660,5,2026-01-01,18:02:00,7,2.000000,2.000000,dine_in,completed,0,Credit Card,17.000000,61.000000,Server 07,2026-01,3,18,full_price
100029,8000,0,8000,2860,5140,5,2026-01-01,18:12:00,2,9.000000,3.000000,dine_in,completed,0,Credit Card,19.000000,61.000000,Server 02,2026-01,3,18,full_price
100030,4450,0,4450,1395,3055,4,2026-01-01,18:14:00,6,3.000000,2.000000,dine_in,completed,0,Credit Card,21.000000,50.000000,Server 06,2026-01,3,18,full_price
100031,7800,0,7800,2900,4900,5,2026-01-01,18:16:00,3,,,takeaway,completed,0,Debit Card,18.000000,18.000000,Server 03,2026-01,3,18,full_price
