server_id,server_name,orders,avg_service_minutes,gross_sales,discount_amount,net_sales,cost_amount,contribution_amount,aov,contribution_margin_pct,active_days,orders_per_active_day
1,Server 01,1199,20.582986,94645.500000,2344.450000,92301.050000,31274.420000,61026.630000,76.981693,66.116940,90,13.322222
2,Server 02,1243,20.205953,97580.500000,2385.100000,95195.400000,32177.030000,63018.370000,76.585197,66.198965,91,13.659341
3,Server 03,1209,20.389578,94290.750000,1982.220000,92308.530000,31326.340000,60982.190000,76.351141,66.063440,91,13.285714
4,Server 04,1253,20.393456,97453.000000,2200.100000,95252.900000,32329.450000,62923.450000,76.019872,66.059354,91,13.769231
5,Server 05,1173,20.560102,88766.000000,1892.670000,86873.330000,29465.470000,57407.860000,74.060810,66.082260,91,12.890110
6,Server 06,1214,20.420099,94315.500000,2372.680000,91942.820000,31346.290000,60596.530000,75.735437,65.906756,91,13.340659
7,Server 07,1351,20.488527,103322.750000,2331.240000,100991.510000,34271.650000,66719.860000,74.753153,66.064821,91,14.846154
8,Server 08,1263,20.608868,97539.750000,2069.560000,95470.190000,32175.260000,63294.930000,75.590016,66.298108,90,14.033333
9,Server 09,1187,20.299916,90533.750000,2562.040000,87971.710000,29880.030000,58091.680000,74.112645,66.034501,90,13.188889
10,Server 10,1266,20.142970,98227.750000,2616.200000,95611.550000,32561.300000,63050.250000,75.522551,65.944177,90,14.066667
11,Server 11,1211,20.666391,93807.250000,1817.790000,91989.460000,31109.400000,60880.060000,75.961569,66.181560,90,13.455556
12,Server 12,1291,20.412858,102794.250000,2409.880000,100384.370000,34065.690000,66318.680000,77.757064,66.064747,90,14.344444
