order_id,order_date,order_time,server_id,table_number,party_size,channel,status,discount_percent,payment_method,service_minutes,check_duration_minutes
100001,2026-01-01,11:12:00,7,1,2,dine_in,completed,0,Credit Card,26,61
100002,2026-01-01,11:26:00,2,9,4,dine_in,completed,0,Cash,19,83
100003,2026-01-01,12:11:00,4,2,2,dine_in,completed,0,Debit Card,18,52
100004,2026-01-01,12:19:00,2,10,4,dine_in,completed,0,Credit Card,16,68
100005,2026-01-01,12:24:00,3,11,3,dine_in,completed,0,Credit Card,22,73
100006,2026-01-01,13:01:00,6,9,4,dine_in,completed,0,Credit Card,24,44
100007,2026-01-01,13:02:00,2,12,4,dine_in,completed,0,Credit Card,16,66
100008,2026-01-01,13:13:00,4,1,2,dine_in,completed,0,Cash,24,97
100009,2026-01-01,13:24:00,3,13,3,dine_in,completed,0,Cash,19,58
100010,2026-01-01,13:31:00,4,10,4,dine_in,completed,0,Cash,12,73
100011,2026-01-01,13:49:00,4,2,2,dine_in,completed,0,Debit Card,17,92
100012,2026-01-01,14:17:00,5,,,takeaway,completed,0,Credit Card,23,23
100013,2026-01-01,14:28:00,5,3,2,dine_in,completed,0,Cash,21,67
100014,2026-01-01,14:30:00,6,,,takeaway,completed,0,Credit Card,18,18
100015,2026-01-01,14:51:00,2,1,2,dine_in,completed,0,Credit Card,8,64
100016,2026-01-01,14:55:00,4,4,1,dine_in,completed,0,Credit Card,18,86
100017,2026-01-01,15:27:00,6,,,takeaway,completed,0,Credit Card,20,20
100018,2026-01-01,16:12:00,5,1,2,dine_in,completed,0,Cash,19,73
100019,2026-01-01,16:44:00,7,2,2,dine_in,completed,0,Credit Card,25,68
100020,2026-01-01,16:49:00,6,9,4,dine_in,completed,0,Credit Card,10,76
100021,2026-01-01,16:58:00,3,21,5,dine_in,completed,0,Cash,18,61
100022,2026-01-01,17:12:00,6,3,1,dine_in,completed,0,Credit Card,24,50
100023,2026-01-01,17:23:00,3,4,2,dine_in,completed,0,Credit Card,18,54
100024,2026-01-01,17:32:00,5,,,takeaway,completed,0,Credit Card,19,19
100025,2026-01-01,17:34:00,2,,,takeaway,completed,10,Credit Card,21,21
100026,2026-01-01,17:40:00,5,,,takeaway,completed,0,Credit Card,29,29
100027,2026-01-01,17:59:00,2,1,2,dine_in,completed,0,Credit Card,16,83
100028,2026-01-01,18:02:00,7,2,2,dine_in,completed,0,Credit Card,17,61
100029,2026-01-01,18:12:00,2,9,3,dine_in,completed,0,Credit Card,19,61
100030,2026-01-01,18:14:00,6,3,2,dine_in,completed,0,Credit Card,21,50
100031,2026-01-01,18:16:00,3,,,takeaway,completed,0,Debit Card,18,18
100032,2026-01-01,18:26:00,7,4,1,dine_in,completed,0,Credit Card,14,63
100033,2026-01-01,18:28:00,6,10,3,dine_in,completed,0,Credit Card,19,80
100034,2026-01-01,18:30:00,7,5,2,dine_in,completed,0,Debit Card,23,52
100035,2026-01-01,18:33:00,6,6,2,dine_in,completed,10,Debit Card,22,74
100036,2026-01-01,18:34:00,6,7,1,dine_in,completed,0,Credit Card,17,73
100037,2026-01-01,18:41:00,2,11,4,dine_in,completed,0,Debit Card,23,75
100038,2026-01-01,18:42:00,5,,,takeaway,completed,0,Credit Card,20,20
100039,2026-01-01,18:47:00,4,21,6,dine_in,completed,0,Credit Card,14,65
100040,2026-01-01,18:47:00,4,,,takeaway,completed,10,Cash,25,25
100041,2026-01-01,18:50:00,4,8,1,dine_in,completed,0,Debit Card,16,71
100042,2026-01-01,19:04:00,3,2,2,dine_in,completed,10,Credit Card,22,51
100043,2026-01-01,19:11:00,2,12,3,dine_in,completed,0,Credit Card,22,67
100044,2026-01-01,19:12:00,3,3,2,dine_in,completed,0,Credit Card,23,54
100045,2026-01-01,19:41:00,3,,,takeaway,completed,10,Debit Card,19,19
100046,2026-01-01,19:44:00,2,,,takeaway,completed,0,Credit Card,13,13
100047,2026-01-01,19:55:00,6,1,2,dine_in,completed,0,Credit Card,12,58
100048,2026-01-01,19:56:00,4,9,4,dine_in,completed,0,Credit Card,18,63
100049,2026-01-01,19:58:00,7,,,takeaway,completed,0,Credit Card,21,21
100050,2026-01-01,20:03:00,3,,,takeaway,completed,0,Credit Card,21,21
100051,2026-01-01,20:07:00,3,10,4,dine_in,completed,10,Cash,18,59
100052,2026-01-01,20:22:00,3,2,2,dine_in,completed,0,Debit Card,18,61
100053,2026-01-01,20:45:00,7,11,3,dine_in,completed,0,Credit Card,23,51
100054,2026-01-01,20:49:00,2,12,3,dine_in,completed,10,Credit Card,21,72
100055,2026-01-01,20:51:00,3,13,4,dine_in,completed,0,Cash,19,93
100056,2026-01-01,20:52:00,6,3,1,dine_in,completed,0,Debit Card,22,63
100057,2026-01-01,20:59:00,6,,,takeaway,completed,0,Debit Card,24,24
100058,2026-01-01,21:11:00,7,1,1,dine_in,completed,0,Credit Card,21,53
100059,2026-01-01,21:11:00,2,9,4,dine_in,completed,10,Cash,17,60
100060,2026-01-01,21:44:00,7,10,4,dine_in,completed,0,Debit Card,18,59
100061,2026-01-01,21:46:00,6,2,2,dine_in,completed,0,Credit Card,23,38
100062,2026-01-01,21:57:00,4,,,takeaway,completed,0,Debit Card,16,16
100063,2026-01-02,11:07:00,5,,,takeaway,completed,0,Credit Card,24,24
100064,2026-01-02,11:10:00,4,,,takeaway,completed,0,Credit Card,25,25
100065,2026-01-02,11:32:00,4,1,2,dine_in,completed,10,Debit Card,21,58
100066,2026-01-02,11:53:00,6,,,takeaway,completed,0,Credit Card,23,23
100067,2026-01-02,11:55:00,8,,,takeaway,completed,0,Debit Card,18,18
100068,2026-01-02,12:08:00,3,2,2,dine_in,completed,0,Credit Card,17,63
100069,2026-01-02,12:37:00,6,,,takeaway,completed,10,Credit Card,27,27
100070,2026-01-02,12:46:00,8,1,2,dine_in,completed,0,Credit Card,17,70
100071,2026-01-02,12:55:00,6,9,3,dine_in,completed,0,Debit Card,18,70
100072,2026-01-02,12:57:00,4,,,takeaway,completed,0,Cash,18,18
100073,2026-01-02,12:59:00,4,,,takeaway,completed,0,Debit Card,20,20
100074,2026-01-02,13:01:00,8,3,2,dine_in,completed,0,Debit Card,12,79
100075,2026-01-02,13:02:00,8,10,3,dine_in,completed,0,Cash,14,63
100076,2026-01-02,13:06:00,7,,,takeaway,completed,0,Cash,31,31
100077,2026-01-02,13:12:00,6,11,3,dine_in,completed,0,Cash,20,64
100078,2026-01-02,13:15:00,7,2,2,dine_in,completed,10,Credit Card,15,69
100079,2026-01-02,13:23:00,6,12,3,dine_in,completed,0,Debit Card,21,54
100080,2026-01-02,13:32:00,3,13,4,dine_in,completed,10,Debit Card,14,56
100081,2026-01-02,13:44:00,3,4,2,dine_in,completed,0,Cash,21,55
100082,2026-01-02,13:46:00,6,21,6,dine_in,completed,0,Debit Card,14,63
100083,2026-01-02,14:02:00,8,,,takeaway,completed,0,Credit Card,19,19
100084,2026-01-02,14:19:00,6,1,2,dine_in,completed,0,Debit Card,23,58
100085,2026-01-02,14:54:00,8,,,takeaway,completed,10,Credit Card,33,33
100086,2026-01-02,15:01:00,7,,,takeaway,completed,0,Cash,21,21
100087,2026-01-02,15:30:00,6,1,2,dine_in,completed,0,Credit Card,16,67
100088,2026-01-02,15:45:00,3,21,5,dine_in,completed,10,Debit Card,22,56
100089,2026-01-02,15:48:00,8,9,3,dine_in,completed,0,Credit Card,18,90
100090,2026-01-02,16:05:00,5,2,2,dine_in,completed,0,Cash,16,53
100091,2026-01-02,16:13:00,4,10,4,dine_in,completed,10,Credit Card,11,45
100092,2026-01-02,16:29:00,7,11,4,dine_in,completed,0,Cash,14,82
100093,2026-01-02,16:54:00,3,1,2,dine_in,completed,0,Credit Card,19,55
100094,2026-01-02,17:08:00,4,,,takeaway,completed,0,Debit Card,24,24
100095,2026-01-02,17:09:00,5,2,1,dine_in,completed,0,Debit Card,13,73
100096,2026-01-02,17:17:00,7,3,2,dine_in,completed,10,Credit Card,25,72
100097,2026-01-02,17:23:00,4,9,3,dine_in,completed,0,Debit Card,18,61
100098,2026-01-02,17:30:00,4,4,2,dine_in,completed,0,Credit Card,24,78
100099,2026-01-02,17:35:00,4,,,takeaway,completed,0,Credit Card,20,20
100100,2026-01-02,17:38:00,8,10,3,dine_in,completed,0,Credit Card,18,33
100101,2026-01-02,18:00:00,5,11,3,dine_in,completed,0,Debit Card,29,85
100102,2026-01-02,18:04:00,8,1,2,dine_in,completed,0,Cash,36,54
100103,2026-01-02,18:07:00,4,12,3,dine_in,completed,0,Debit Card,33,69
100104,2026-01-02,18:09:00,4,,,takeaway,completed,0,Debit Card,24,24
